한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
글라이코프로테인,Glycoproteins,66455-27-4,식약처 등재,,이 원료는 폴리펩타이드사슬과 공유결합된 탄수화물그룹을 포함하는 복합단백질이다.,,B (식약처)
봉출뿌리오일,Curcuma Zedoaria Root Oil,,식약처 등재,,이 원료는 봉출 Curcuma zedoaria의 뿌리줄기에서 얻은 오일이다.,봉출오일,B (식약처)
부메트라이졸,Bumetrizole,11/5/96,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,부메트리졸,B (식약처)
부석,Pumice,1332-09-8,식약처 등재,,이 원료는 주로 알루미늄 및 알칼리 금속의 복합 실리케이트로 구성된 화산 기원의 물질이다.,,B (식약처)
레스페데자 카피타타잎/줄기추출물,Lespedeza Capitata Leaf/Stem Extract,84837-05-8,식약처 등재,,이 원료는 Lespedeza capitata의 잎과 줄기에서 추출한 것이다.,,B (식약처)
부용꽃추출물,Hibiscus Sinensis Flower Extract,,식약처 등재,,이 원료는 부용 Hibiscus sinensis(=Hibiscus mutabilis)의 꽃에서 추출한 것이다.,부용추출물,B (식약처)
부처스브룸뿌리추출물,Ruscus Aculeatus Root Extract,84012-38-4,식약처 등재,,이 원료는 부처스브룸 Ruscus aculeatus의 뿌리에서 추출한 것이다.,부처브룸뿌리추출물,B (식약처)
부탄,Butane,106-97-8,식약처 등재,,이 원료는 다음의 구조를 갖는 탄화수소이다.,,B (식약처)
부테스-3,Buteth-3,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 부틸알코올의 폴리에칠렌글라이콜에텔이다.,,B (식약처)
부톡시에틸스테아레이트,Butoxyethyl Stearate,109-38-6,식약처 등재,,이 원료는 부톡시에탄올과 스테아릭애씨드의 에스터이며 다음의 구조를 갖는다.,부톡시에칠스테아레이트,B (식약처)
글라이콜,Glycol,107-21-1,식약처 등재,,이 원료는 다음의 구조를 갖는 지방족 다이올이다.,,B (식약처)
부트라세트리껍질추출물,Eperua Falcata Bark Extract,,식약처 등재,,이 원료는 부트라세트리 (Eperua falcata)의 껍질에서 추출한 것이다.,,B (식약처)
부틸레이티드피브이피,Butylated PVP,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 부틸레이티드비닐피롤리돈의 폴리머이다.,,B (식약처)
4-부틸레조시놀,4-Butylresorcinol,18979-61-8,식약처 등재,,이 원료는 다음의 구조를 갖는 유기 화합물이다.,,B (식약처)
부틸레조시놀비스-석시노일피토스핑고신,Butyl Resorcinol Bis-Succinoylphytosphingosine,,식약처 등재,,이 원료는 다음의 구조를 갖는 스핑고이드이다.,,B (식약처)
부틸렌글라이콜,Butylene Glycol,"107-88-0,6290-03-5",식약처 등재,,이 원료는 다음의 구조를 갖는 지방족 디올이다.,,B (식약처)
부틸렌글라이콜다이카프릴레이트/다이카프레이트,Butylene Glycol Dicaprylate/Dicaprate,,식약처 등재,,이 원료는 카프릴릭 및 카프릭애씨드의 부틸렌글라이콜다이에스터의 혼합물이다.,부틸렌글라이콜디카프릴레이트/디카프레이트,B (식약처)
부틸렌글라이콜코코에이트,Butylene Glycol Cocoate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 부틸렌글라이콜 및 코코넛애씨드의 에스터이다.,,B (식약처)
부틸렌글라이콜프로피오네이트,Butylene Glycol Propionate,91171-54-9,식약처 등재,,이 원료는 다음의 구조를 갖는 부틸렌글라이콜과 프로피오닉애씨드의 에스터이다.,,B (식약처)
부틸렌/에틸렌/스타이렌코폴리머,Butylene/Ethylene/Styrene Copolymer,66070-58-4,식약처 등재,,"이 원료는 말단에 수소가 첨가된 부틸렌, 에틸렌 및 스타이렌모노머의 폴리머이다.",부틸렌/에칠렌/스타이렌코폴리머,B (식약처)
부틸렌/에틸렌/프로필렌코폴리머,Butylene/Ethylene/Propylene Copolymer,,식약처 등재,,"이 원료는 프로필렌모노머 그리고 에틸렌, 부틸렌의 공중합체이다.",부틸렌/에칠렌/프로필렌코폴리머,B (식약처)
C14-18글라이콜,C14-18 Glycol,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 긴 사슬 다이올이다. R은 C12-16인 알킬 그룹이다.,,B (식약처)
부틸메타크릴레이트,Butyl Methacrylate,"97-88-1,44914-63-6",식약처 등재,,이 원료는 n-부틸알코올 및메타크릴릭애씨드의 에스터이다.,,B (식약처)
부틸메톡시디벤조일메탄,Butyl Methoxydibenzoylmethane,70356-09-1,식약처 등재,,이 원료는 다음의 구조를 갖는 치환된 방향족 화합물이다.,,B (식약처)
부틸스테아레이트,Butyl Stearate,123-95-5,식약처 등재,,이 원료는 부틸알코올과 스테아릭애씨드의 에스터이다.,,B (식약처)
부틸아보카데이트,Butyl Avocadate,,식약처 등재,,이 원료는 부틸알코올과 아보카도오일에서 유래된 지방산의 에스터이다.,,B (식약처)
부틸아세테이트,Butyl Acetate,123-86-4,식약처 등재,,이 원료는 부틸알코올 및 아세틱애씨드의 에스터이다.,,B (식약처)
부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,Butyl Acrylate/Hydroxypropyl Dimethicone Acrylate Copolymer,,식약처 등재,,이 원료는 부틸아크릴레이트와 하이드록시프로필다이메티콘아크릴레이트모노머의 공중합체이다.,부틸아크릴레이트/하이드록시프로필디메치콘아크릴레이트코폴리머,B (식약처)
부틸알코올,n-Butyl Alcohol,71-36-3,식약처 등재,,이 원료는 다음의 구조를 갖는 지방족 알코올이다.,n-부틸알코올,B (식약처)
t-부틸알코올,t-Butyl Alcohol,75-65-0,식약처 등재,,이 원료는 다음의 구조를 갖는 지방족 알코올이다.,,B (식약처)
부틸에틸프로판다이올,Butyl Ethyl Propanediol,115-84-4,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,부틸에칠프로판디올,B (식약처)
부틸에틸프로판다이일에틸헥사노에이트,Butyl Ethylpropanediyl Ethylhexanoate,,식약처 등재,,이 원료는 부틸에틸프로판다이올과 2-에틸헥사노익애씨드의 모노에스터이다. 다음의 구조를 갖는다.,부틸에칠프로판디일에칠헥사노에이트,B (식약처)
C15-18글라이콜,C15-18 Glycol,"70750-40-2,92128-52-4",식약처 등재,,이 원료는 주로 다음의 구조를 갖는 긴 사슬 다이올이다. R은 C13-16인 알킬 그룹이다.,,B (식약처)
부틸옥탄올,Butyloctanol,2/8/13,식약처 등재,,이 원료는 다음의 구조를 갖는 알코올이다.,,B (식약처)
부틸옥틸벤조에이트,Butyloctyl Benzoate,188038-97-3,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
부틸옥틸살리실레이트,Butyloctyl Salicylate,190085-41-7,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
부틸파라벤,Butylparaben,94-26-8,식약처 등재,,이 원료는 부틸알코올 및 p-하이드록시벤조익애씨드의 에스터이다.,,B (식약처)
부틸페닐메틸프로피오날,Butylphenyl Methylpropional,80-54-6,식약처 등재,,이 원료는 다음의 구조를 갖는 방향족 알데하이드이다.,부틸페닐메칠프로피오날,B (식약처)
개구리밥추출물,Spirodela Polyrhiza Extract,,식약처 등재,,이 원료는 개구리밥 Spirodela polyrhiza의 전초에서 추출한 것이다.,부평추출물,B (식약처)
분꽃꽃/잎/줄기추출물,Mirabilis Jalapa Flower/Leaf/Stem Extract,91722-88-2,식약처 등재,,"이 원료는 분꽃 Mirabilis jalapa의 꽃, 잎 및 줄기에서 추출한 것이다.",,B (식약처)
분꽃추출물,Mirabilis Jalapa Extract,91722-88-2(generic),식약처 등재,,이 원료는 분꽃 (Mirabilis jalapa)의 전초에서 추출한 것이다.,,B (식약처)
분홍바늘꽃꽃/잎/줄기추출물,Epilobium Angustifolium Flower/Leaf/Stem Extract,90028-31-2,식약처 등재,,"이 원료는 분홍바늘꽃 Epilobium angustifolium의 꽃, 잎 및 줄기에서 추출한 것이다.",분홍바늘꽃/잎/줄기추출물,B (식약처)
분홍바늘꽃잎추출물,Epilobium Angustifolium Leaf Extract,90028-31-2(generic),식약처 등재,,이 원료는 분홍바늘꽃 (Epilobium angustifolium)의 잎에서 추출한 것이다.,,B (식약처)
글라이콜다이스테아레이트,Glycol Distearate,"627-83-8,91031-31-1",식약처 등재,,이 원료는 에틸렌글라이콜과 스테아릭애씨드의 다이에스터이다. 주로 다음의 구조를 갖는다.,글라이콜디스테아레이트,B (식약처)
슈가애플씨추출물,Annona Squamosa Seed Extract,,식약처 등재,,이 원료는 슈가애플 Anona squamosa의 씨에서 추출한 것이다.,불두과씨추출물,B (식약처)
붉나무추출물,"Rhus Semialata Extract,Rhus Javanica Extract",,식약처 등재,,이 원료는 붉나무 Rhus javanica(=Rhus semialata) 전체에서 추출한 것이다.,오배자추출물,B (식약처)
모나스커스추출물,Monascus Extract,,식약처 등재,,이 원료는 모나스커스 퍼퍼류스 Monascus purpureus에서 추출한 것이다.,붉은누룩곰팡이추출물,B (식약처)
붉은토끼풀꽃추출물,Trifolium Pratense (Clover) Flower Extract,85085-25-2,식약처 등재,,이 원료는 붉은토끼풀 (Trifolium pratense)의 꽃에서 추출한 것이다.,,B (식약처)
붉은토끼풀잎추출물,Trifolium Pratense (Clover) Leaf Extract,,식약처 등재,,이 원료는 붉은토끼풀(Clover) Trifolium pratense의 잎에서 추출한 것이다.,,B (식약처)
블루플래그아이리스추출물,Iris Versicolor Extract,90045-93-5,식약처 등재,,이 원료는 블루플래그아이리스 Iris versicolor의 전초에서 추출한 것이다.,붓꽃추출물,B (식약처)
부들레야 악실라리스잎추출물,Buddleja Axillaris Leaf Extract,608134-67-4,식약처 등재,,이 원료는 Buddleja axillaris의 잎에서 추출한 것이다.,붓들레야 악실라리스잎추출물,B (식약처)
부들레야추출물,Buddleja Davidii Extract,,식약처 등재,,이 원료는 부들레야 Buddleja davidii의 전초에서 추출한 것이다.,브델리아추출물,B (식약처)
브라질넛과피추출물,Bertholletia Excelsa Pericarp Extract,,식약처 등재,,이 원료는 브라질넛 (Bertholletia excelsa)의 과피에서 추출한 것이다.,,B (식약처)
브라질넛꽃추출물,Bertholletia Excelsa Flower Extract,,식약처 등재,,이 원료는 브라질넛 (Bertholletia excelsa)의 꽃에서 추출한 것이다.,,B (식약처)
글라이콜다이올리에이트,Glycol Dioleate,,식약처 등재,,이 원료는 에틸렌글라이콜과 올레익애씨드의 다이에스터이다. 다음의 구조를 갖는다.,글라이콜디올리에이트,B (식약처)
브라질넛씨오일,Bertholletia Excelsa Seed Oil,356065-50-4(generic),식약처 등재,,이 원료는 브라질넛 (Bertholletia excelsa)의 넛트에서 압착하여 얻은 불휘발성 오일이다.,,B (식약처)
브라질넛씨추출물,Bertholletia Excelsa Seed Extract,160965-04-8,식약처 등재,,이 원료는 브라질넛 (Bertholletia excelsa)의 씨에서 추출한 것이다.,,B (식약처)
크리스마스베리트리씨추출물,Schinus Terebinthifolia Seed Extract,,식약처 등재,,이 원료는 Schinus terebinthifolia의 씨에서 추출한 것이다.,"브라질리언페퍼씨추출물,브라질페퍼씨추출물",B (식약처)
브로멜라인,Bromelain,"9001-00-7,37189-34-7",식약처 등재,,이 원료는 파인애플즙에서 발견된 효소의 혼합물이다.,,B (식약처)
"5-브로모-5-나이트로-1,3-디옥산","5-Bromo-5-Nitro-1,3-Dioxane",30007-47-7,식약처 등재,,이 원료는 다음의 구조를 갖는 치환된 사이클릭에텔이다.,,B (식약처)
"2-브로모-2-나이트로프로판-1,3-디올","2-Bromo-2-Nitropropane-1,3-Diol",52-51-7,식약처 등재,,이 원료는 다음의 구조를 갖는 치환된 지방족이알코올족 디올이다.,브로노폴,B (식약처)
브로콜리싹추출물,Brassica Oleracea Italica (Broccoli) Sprout Extract,223749-36-8(generic),식약처 등재,,이 원료는 브로콜리 (Brassica oleracea italica)의 싹에서 추출한 것이다.,,B (식약처)
브로콜리씨오일,Brassica Oleracea Italica (Broccoli) Seed Oil,223749-36-8(generic),식약처 등재,,이 원료는 브로콜리 (Brassica oleracea italica)의 씨를 압착하여 얻은 오일이다.,,B (식약처)
브로콜리추출물,Brassica Oleracea Italica (Broccoli) Extract,223749-36-8(generic),식약처 등재,,이 원료는 브로콜리 (Brassica oleracea italica)의 전초에서 추출한 것이다.,,B (식약처)
브이에이/부틸말레이트/아이소보닐아크릴레이트코폴리머,VA/Butyl Maleate/Isobornyl Acrylate Copolymer,,식약처 등재,,"이 원료는 비닐아세테이트, 부틸말레이트 및 아이소보닐아크릴레이트모노머의 공중합체이다.",브이에이/부틸말리에이트/이소보닐아크릴레이트코폴리머,B (식약처)
글라이콜다이탈로우에이트,Glycol Ditallowate,,식약처 등재,,이 원료는 에틸렌글라이콜과 탈로우애씨드의 다이에스터이다. 주로 다음의 구조를 갖으며 RCO-는 수지에서 유래한 지방산이다.,글라이콜디탈로웨이트,B (식약처)
브이에이/비닐부틸벤조에이트/크로토네이트코폴이머,VA/Vinyl Butyl Benzoate/Crotonates Copolymer,,식약처 등재,,이 원료는 크로토닉애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 비닐t-부틸벤조에이트 및 비닐아세테이트의 중합체이다.,브이에이/비닐부틸벤조에이트/크로토네이트코폴리머,B (식약처)
브이에이/크로토네이트/비닐네오데카노에이트코폴리머,VA/Crotonates/Vinyl Neodecanoate Copolymer,"55353-21-4,58748-38-2",식약처 등재,,"이 원료는 비닐아세테이트, 크로토닉애씨드 및 비닐네오데카노에이트 모노머들에 의해 생성된 중합체이다.",,B (식약처)
브이에이/크로토네이트코폴리머,VA/Crotonates Copolymer,25609-89-6,식약처 등재,,이 원료는 크로토닉애씨드 또는 이것의 단순 에스터로 구성된 하나 또는 그 이상의 모노머와 비닐아세테이트의 폴리머이다.,,B (식약처)
브이피/디마파아크릴레이트코폴리머,VP/DMAPA Acrylates Copolymer,175893-71-7,식약처 등재,,이 원료는 비닐피롤리돈과 디메칠아미노프로필아크릴아마이드 혹은 메타크릴아마이드의 공중합체이다.,,B (식약처)
브이피/다이메티코닐아크릴레이트/폴리카바밀폴리글라이콜에스터,VP/Dimethiconylacrylate/Polycarbamyl Polyglycol Ester,,식약처 등재,,"이 원료는 비닐피롤리돈, 아크릴레이티드다이메티콘올 및 폴리우레탄의 공중합체이다.",브이피/디메치코닐아크릴레이트/폴리카바밀/폴리글라이콜에스터,B (식약처)
브이피/다이메틸아미노에틸메타크릴레이트코폴리머,VP/Dimethylaminoethylmethacrylate Copolymer,30581-59-0,식약처 등재,,이 원료는 비닐피롤리돈과 다이메틸아미노에틸메타크릴레이트모노머에서 얻은 중합체이다.,브이피/디메칠아미노에칠메타크릴레이트코폴리머,B (식약처)
브이피/메타크릴아마이드/비닐이미다졸코폴리머,VP/Methacrylamide/Vinyl Imidazole Copolymer,38139-93-4,식약처 등재,,이 원료는 다음의 구조를 갖는 공중합체이다.,,B (식약처)
브이피/브이에이코폴리머,VP/VA Copolymer,25086-89-9,식약처 등재,,이 원료는 비닐아세테이트와 비닐피롤리돈모노머의 공중합체이다.,,B (식약처)
